name,address,rankingPosition,rating,description,numberOfReviews,priceLevel,priceRange,latitude,longitude
La Reserve,"44 rue Leon Frot, 75011 Paris France",128,4.5,"La Réserve des Initiés, c'est le repère des fines-gueules. Dans les assiettes, petites et grandes, des produits tout frais cuisinés sur place et en fonction des saisons, qu'on accompagne d'une sélection de vins pas piquée des hannetons.",302,$$ - $$$,$15 - $40,48.8557184,2.3866038
Oinari,"34 Rue la Bruyere, 75009 Paris France",122,5,"OINARI is an authentic Japanese restaurant, where you can discover the taste of Japan in Paris. We present to you an increasingly wide range of delicious Japanese dishes that are still rare in Paris. Our goal is to be a place of relaxation for all, connecting Japan and France.

----Our specialty, INARIZUSHI----
INARIZUSHI, the rich taste of vinegared rice wrapped in fried tofu, has been popular throughout Japan for hundreds of years.
  OINARI sources its fried tofu directly from Kyoto (OINARI uses fried tofu from Kyoto.).

We offer uniquely styled INARI sushi with colorful toppings such as vegetables, fish and meat. Enjoy INARIZUSHI, which are very popular in America, Australia and other Asian countries.

----Rigorous selection by a sake sommelier-----
Please enjoy the marriage of delicious food and sake.
More than 80 types of sakes, the largest in Paris",159,$$ - $$$,$16 - $100,48.8795875,2.3336903
Le Petit Pont,"40 avenue Jean D Estienne D Orves, 94340 Joinville-le-Pont France",1,5,,969,$$ - $$$,,48.8230243,2.4705453
Himalaya Restaurant,"22 rue de la Gaite, 75014 Paris France",104,4,"Himalaya Restuarant Gaite in the heart of Paris traditional Indian Pakistani gastronomy. We have the authentic taste of spices and curry. Quality service of Indian and Pakistani cuisine since 1983 in Paris. We offer : - Delivery at home, office - Reservation event (Birthday, Wedding dinner, Business lunch, Meetings) - Home delivery (Paris 05, Paris 06, Paris 07, Paris 13, Paris 14, Paris 15)",407,$$ - $$$,$35 ,48.8394993,2.3233349
Gegeor,"1 rue Moncey, 75009 Paris France",93,5,"GEGEOR is a Wine Cellar and a Restaurant in the same time. Wine cellar : the primary profession of the establishment is to advise and sell wine. 250 references of wines and spirits, only wines of independent wine maker and around 50% of organic, biodynamic or natural wines. Restaurant: family dishes at most cooked on site, composed of ingredients from the ""terroir"". Here the cooking is made to put the wine in value.",267,$$ - $$$,$6 - $27,48.8800496,2.3311537
Le Florimond,"19 avenue de la Motte Picquet, 75007 Paris France",123,4.5,,1166,$$ - $$$,$1 ,48.8556914,2.3080031
L'Empreinte,"5 rue Mouton Duvernet, 75014 Paris France",124,4.5,"The EMPREINTE exists since October 2016, we have been on the Michelin guide for 4 years, thanks to our customers our restaurant has become a must in Paris 14th. The two partners Jean François (in the dining room) and Noel (chef in the kitchen) loved to cook only with fresh products, with recipes from our grandparents. We loved to preserve the taste and authenticity of French cooking. Long live the good cooking of our beautiful FRANCE. The pleasure of seeing you.",450,$$ - $$$,$29 - $49,48.831505,2.3291751
L'Atelier Saisonnier Paris 9,"58 rue la Fayette, 75009 Paris France",130,4.5,L'atelier saisonnier est le restaurant et bar spécialiste des planches charcuteries fromages à Paris avec des produits du terroir uniquement. Une carte des vins et bières artisanales (en pression) accompagnent nos planches Aussi réputé dans la capitale pour son Brunch à volonté ! Au programme un buffet 100% Maison avec que des produits cuisiné le matin sur place et de quoi réconforter vos soirées de la veille,851,$$ - $$$,$20 - $32,48.8753894,2.3424351
Frog & Rosbif,"116 rue Saint Denis, 75002 Paris France",146,4.5,"THE FROG & ROSBIF is just around the corner from the rue Montorgueil, the oldest market street in Paris. This is a beautiful English pub with a busy little brewery in the cellar. It is a popular & famous live sports venue.",660,$$ - $$$,$11 - $17,48.865489,2.3505126
Akabeko Restaurant,"40 rue de l Universite, 75007 Paris France",7,5,"Chef Yasuo Nanaumi vous invite pour une expérience culinaire inoubliable, dans un restaurant fusion français et japonais en plein cœur du 7e arrondissement de Paris. Composé de deux étages, le restaurant propose une ambiance chic, moderne et chaleureuse. Au rez-de-chaussé un long comptoir et au 1er une salle cosy pour vous accueillir.",75,$$$$,$69 - $139,48.8576151,2.328373
Frog Hop House,"10 rue des Capucines, 75002 Paris France",163,4.5,"Frog Hop House is situated between the glamorous shopping of the Vendome and the bustling warren of streets that fringe the world famous Paris Opera. Frog Hop House specialises in a constantly changing range of artisan craft FrogBeer, genuinely good burgers and American BBQ & soul food.",697,$$ - $$$,$10 - $20,48.8688361,2.3296197
"L'Entente, Le British Brasserie","13 rue Monsigny, 75002 Paris France",142,4.5,"Inspired by Traditional British Cuisine, but dedicated to Excellent French Terroir Products, except for the cheese...",532,$$ - $$$,$20 - $45,48.8691222,2.3355031
Flesh Restaurant Canal Saint Martin,"23 rue Louis Blanc, 75010 Paris France",159,4.5,,962,$$ - $$$,$10 - $40,48.8800846,2.3668593
Aux Enfants Gates,"4 rue Danville 75014, 75014 Paris France",149,4.5,"Venez découvrir une cuisine du marché sans cesse renouvelée dans une ambiance simple et chaleureuse. Le chef interprète une cuisine généreuse, gourmande et créative. Il apporte un soin minutieux à l’esthétisme de ses assiettes dans le prolongement du travail de ses producteurs.La cuisine se veut durable et originelle pour être au plus proche du vrai goût du produit.",622,$$ - $$$,$36 - $60,48.8343994,2.3276126
Bodega Potxolo,"7 rue de la Forge Royale, 75011 Paris France",168,4.5,"Potxolo is a basque Bodega aims to transport you to the basque country and his neighbour Spain on an envening. Our tapas cooked with grat skill by the chief Patrice, will remind you of the warmth of the south and in a festive and joyful atmosphere.",293,$$ - $$$,$19 - $35,48.8509534,2.3802024
Les Canailles,"25 rue la Bruyere, 75009 Paris France",167,4.5,,749,$$ - $$$,,48.8792957,2.3345866
JJ Restaurant,"34 rue de Penthievre, 75008 Paris France",157,4.5,,500,$$ - $$$,,48.8723957,2.3136618
Buzkashi,"Rue des Dames, 75017 Paris France",145,4.5,"Only steps away from Place Clichy in Paris, is a pleasant family restaurant, typically afghan.Vous will be received warmly authentic decor and taste the specialties Afghanistan. You can choose to enjoy comfortably seated at a table or in a platform, sitting on cushions surrounded by Afghan carpets, an invitation to travel .... Of typical dishes of steamed rice (tchalow), to skewers of meat (kabob) and spices,Ashak (small dumplings with leeks with his meat with yogurt, Kaboli(lamb, brown rice with dried fruits and vegetables) and many other dishes to discover.",287,$$ - $$$,$12 - $33,48.8830705,2.3184341
The Frog Revolution,"9 rue de la Bastille, 75004 Paris France",160,4.5,"FROG REVOLUTION is situated on the historic site of the place de la Bastille, in the heart of a neighborhood now as well known for its vibrant nightlife as its revolutionary past. Part pub, part lounge, Frog Revolution serves home brewed craft beer on 24 taps, as well as a finger lickin' American BBQ & Soul Food menu and Genuinely Good Burgers till late seven nights a week.",772,$$ - $$$,$11 - $20,48.8538696,2.3683007
La Table Du Caviste Bio,"55 rue de Prony, 75017 Paris France",161,4.5,"965/5000 - 100% homemade dishes - Quality products and 80% organic. - An ethic that favors local markets and short circuits. - A talented Japanese chef, demanding and precise with her cuisine. - A wine cellar of 250 references, 100% organic or from biodynamic cultivation. Here are the ingredients that make La Table.bio a unique restaurant, offering gourmet cuisine with subtle Asian accents and unique food and wine pairings. The dishes presented on the menu or à la carte are changed every week, to adapt to the seasons and to the culinary discoveries offered by chef Junko. Dominique, who perfectly masters the 250 references of the cellar, will make you discover unknown terroirs, for surprising food and wine pairings. Do not hesitate to come and discover our lunch options, specially adapted for epicurean breakfasts, at a very reasonable price. From € 27 for lunch and € 45 for the evening.",204,$$ - $$$,$35 - $90,48.8823535,2.3038656
Aux Delices du Liban,"3 rue de l Estrapade, 75005 Paris France",172,4.5,,235,$$ - $$$,$17 - $30,48.8444401,2.3478396
Ristorante Al Caratello,"5 rue Audran, 75018 Paris France",133,4.5,,1935,$$ - $$$,$16 - $25,48.8851871,2.3358188
Chez Gabrielle,"7 rue de l Etoile, 75017 Paris France",154,4.5,,1120,$$ - $$$,,48.8766938,2.296208
Figuig,"Rue Brey 13, 75017 Paris France",138,5,"Fouzia a toujours partagé la passion de son mari pour la restauration, tandis qu'il ouvrait et gérait des restaurants, elle s'est orientée vers le management d'entreprise jusqu'à ce que le destin lui offre l'opportunité de réaliser son rêve, faire découvrir et apprécier la gastronomie du Maroc, une des plus savoureuses du monde. C'est ainsi qu'est né le restaurant Figuig. C'est pourquoi maintenant, dans le prestigieux quartier de l'Étoile, vous pouvez vous aussi découvrir le meilleur de cette cuisine dans un décor chic et raffiné, un endroit où Fouzia fusionne les gastronomies françaises et marocaines qui vous feront voyager bien au-delà de vos rêves.",178,$$ - $$$,$35 - $50,48.876441,2.2957288
L'Annexe,"13 rue des Trois Freres, 75018 Paris France",144,4.5,,879,$$ - $$$,$20 - $40,48.8842972,2.3412071
Le Sanglier Bleu,"102 boulevard de Clichy, 75018 Paris France",148,4.5,,838,$$ - $$$,$16 - $45,48.8842785,2.3314731
Mian Fan,"15 boulevard Montmartre, 75002 Paris France",225,4.5,"Il fallait une adresse comme Mian Fan pour dynamiser la vie nocturne du quartier des Grands Boulevards . En face du musé Grevin, cette belle table contemporaine revisite la gastronomie asiatique dans une surprenante fusion des saveurs. Ce soir, une subite envie d’évasion culinaire vous prend ? Nous avons l’escale qu’il vous faut, au croisement de la Chine, la Thaïlande, le Vietnam, la Corée, le Japon et du 2e. Mian Fan Asian Fusionj Bowls , c’est toutes ces saveurs d’Asie travaillées avec soin (produits frais, plats faits maison, savoir-faire d’un chef venu de Shanghai) et modernisées à la sauce européenne pour bousculer un peu les traditions fossilisées. Après l’esprit cantine “business” du midi, place à une ambiance cosy ou plus punchy le soir, selon les jours, les humeurs et la playlist de Julien, aux commandes du restaurant.",670,$$ - $$$,$9 - $22,48.8716197,2.3412869
La Bonne Excuse,"48 rue de Verneuil, 75007 Paris France",177,4.5,New Restaurant,772,$$$$,,48.858455,2.3276937
Didon.,"8 rue du Dragon, 75006 Paris France",78,5,"Cuisine française bistronomique, de partage et au charbon de bois. Produits de saison, plats végétariens et végans aussi.",328,$$$$,$80 - $100,48.853754,2.3312227
Bella Georgette,"3 rue Auguste Daix, 94260 Fresnes France",1,4.5,,308,$,,48.7541715,2.3203216
Le Bayadere,"35 rue de Berri, 75008 Paris France",152,5,"The restaurant and bar Le Bayadère offers delicious recipes cooked with seasonal and local products. Enjoy a tasty French cuisine with a creative touch, in an elegant and warm atmosphere.",76,$$$$,$29 - $37,48.8736403,2.3062624
Le Belisaire,"2 rue Marmontel, 75015 Paris France",179,4.5,,749,$$ - $$$,,48.8374438,2.300999
Grains Nobles et Plus,"8 rue Boutebrie, 75005 Paris France",116,4.5,,522,$$ - $$$,$20 - $46,48.8514978,2.3446064
L'Aubergeade,"17 rue Chaligny, 75012 Paris France",162,4.5,,1108,$$ - $$$,,48.8465424,2.3835075
Les Passagers de Beyrouth,"18 Passage de la Bonne Graine Quartier Bastille, 75011 Paris France",147,4.5,,752,$$ - $$$,,48.8522994,2.3771804
Le Bouclard,"1 rue Cavallotti, 75018 Paris France",165,4.5,"Michel has reenacted an old Parisian restaurant where under the supervision of Rosalie he elaborates some of the best French traditional dishes such as: crayfish tails gratine with Macon blanc-Terrine of foie gras served with tiny potatoes brushed with truffle olive oil, fresh shives and flower salt from “guerande”- Veal breast with thyme, slowly braised 48 hours at °F145 - Heart of veal sweetbread Alexander style. Icing on the cake, is the home made Pastrami noted 4 stars by American patrons of the restaurant. The \he Man\pieces of meat are carved in front of the patrons. Michel signs all his recepies inherited or inspired by his forbears, some of them being dishes requiring lots of tender loving care.",367,$$ - $$$,$25 - $75,48.885776,2.3287243
TATA Burger,"54 rue Ste Croix de la Bretonnerie, 75004 Paris France",79,4.5,,1571,$,$11 - $17,48.8589952,2.3540015
1000 & 1 Signes,"76 rue de Charonne, 75011 Paris France",112,5,"1000 & 1 Signes is a place where everything is done to accommodate exchange between deaf and hearing able people. A small brochure demonstrating basic signs is given along with the menu. There are also white boards to facilitate communication between customers. Food fresh from the farmer's market is served at 1000 & 1 Signes in a decor revisited Made in Bled. You will find all the flavors and colors of the traditional Moroccan cuisine such as bricks, Tajine and of course the Couscous. It doesn't matter whether you are hearing able or deaf, you will feel at home in 1000 & 1 Signes.",191,$$ - $$$,$6 - $40,48.8534804,2.3801607
Savannah Cafe,"27 rue Descartes 75005, 75005 Paris France",98,4.5,,661,$$ - $$$,$16 - $20,48.8459423,2.3491893
L'Oliveto,"38 rue de Buci, 75006 Paris France",134,4.5,"Open the door and be greeted by Gandolfo, to L'Oliveto, and discover the best of fine Italian dining in Saint Germain des Prés, 38 rue de Buci,in the 6th district in Paris. Come and taste the authentic taste of Southern Italian dishes, prepared daily with fresh ingredients where you can taste the sunshine in the food, lovingly cooked by our Chef , passionately bring you the taste of the finest home cooking. Reservation recommended by phone or website Loliveto-paris.fr . Air conditioning !",1533,$$ - $$$,$20 - $45,48.8533873,2.3359705
Les Crepes de Louis-Marie,"1 rue de l Arbalete, 75005 Paris France",189,4.5,"Les Crêpes de Louis-Marie makes you delicious french crêpes in a welcoming place. The crêpes are all made by Louis-Marie with fresh products and some of them are gluten free. Regularly, according to your preferences, the Menu changes. We are open from Monday to Friday from 12 pm until 3 pm and from 7pm until 11 pm. We looking for welcoming you for a degustation.",292,$,$4 - $16,48.8404363,2.3503724
Il Padrino,"49 rue Custine, 75018 Paris France",192,4.5,,320,$$ - $$$,,48.8893937,2.3440469
Bustronome Paris,"2 avenue Kleber, 75116 Paris France",140,4.5,"Aboard a double-decker bus converted into a restaurant, guests will enjoy a friendly welcome and a wide variety of dishes in a fashionable setting. The BUSTRONOME : a Parisian invitation to rediscover some of the City of Light's most beautiful locations while enjoying fine French cuisine. This singular journey combines a visual experience with a treat for the taste buds; Paris residents and tourists alike can indulge their love of culture while savouring good food.",284,$$$$,$70 - $150,48.8726538,2.2939509
La boite aux lettres,"108 rue Lepic, 75018 Paris France",194,4.5,"You have to climb the famous Rue Lepic to find La Boite aux Lettres. A charming bistro which offers refined appetizing dishes with seasonal products. For the undecided ones, the set menu ",1156,$$ - $$$,$13 - $39,48.8867739,2.338186728
Buddha Restaurant,"13 rue Saint Hippolyte, 75013 Paris France",199,4.5,,463,$$ - $$$,$10 - $25,48.836001,2.3470528
Pages,"4 rue Auguste Vacquerie, 75116 Paris France",198,4.5,,267,$$$$,$65 - $240,48.8708869,2.2962
L'Escudella,"41 avenue de Segur, 75007 Paris France",231,4.5,MODERN BISTROT with Gastronomique cuisine in the heart of the 7th district of Paris. Near the Eiffel Tower but in a quiet and chic neighborhood. The young and talented Rémi Poulain just took over the oven of L'Escudella to provide a fine french dining with innovative cuisine techniques. A small restaurant with a fine setting for its main room of 26 seats and a private room for up to 14 people will welcome you in a warm and cosy ambiance.,393,$$ - $$$,$24 - $55,48.8505602,2.3091812
La Petite Rose des Sables,"6 rue de Lancry, 75010 Paris France",182,4.5,"Welcome to ""la petite rose des sables"", the warmest and most welcoming restaurant in Paris :) This family restaurant is very small (you can fit 6-10 people) and does not take reservations (especially through Hotels). The best way to eat there is to drop by and see if it's open / if there is space. Indeed, lots of friends come often so it can happen that there's birthdays, special reservations, etc. Due to popularity and for all the reasons above, Zouzou and Christian would like to host everyone but it is sometime impossible, try to be comprehensive and act with gentle manners. Moreover, we're very sorry for the people that were disappointed recently, Zouzou got her collarbone broken so the restaurant might be close from time to time with notice on the front door. Enjoy your stay in Paris Kind Regards - The little pink sands fan club",940,$,$15 - $30,48.8689259,2.3601381
Le Cherine,"74 rue de la Croix Nivert, 75015 Paris France",129,5,"A family story , a father - daughter duo that comes to life between Paris and Beirut. Behind the doors of 74 rue de la Croix Nivert a House is born. Inspired by the Lebanese culture , Cherine has managed to divert this space by tucking the light and playing on transparencies , allowing free expression of raw materials such as metal and stone . In this modern decor in warm shades of gold and copper - reminiscent of a sunset - The scents of the dishes signed by the chef's creativity take you through the historic streets of Beirut. The Menu is an invitation to a journey that will show you the way to Lebanon.",435,$$ - $$$,$35 - $60,48.8445666,2.2967203
L'Hommage,"36 avenue de Choisy, 75013 Paris France",193,4.5,,300,$$ - $$$,$27 - $58,48.8223334,2.3630991
Chantoiseau,"63 rue Lepic, 75018 Paris France",166,4.5,,138,$$$$,,48.8877923,2.3347096
"Respiro, Trattoria - Pizzeria","18 rue Maitre Albert, 75005 Paris France",184,4.5,"Souhaitez-vous savourer une pizza exquise ? Rendez-vous dès maintenant au restaurant italien Respiro, Pizzeria — Trattoria au 18 rue Maître Albert 75005 Paris. Le restaurant propose plusieurs spécialités italiennes et est réputé pour la saveur unique de ses pizzas. Elles sont très savoureuses et vous transportent en Italie. Chef cuisinier et gérant, le sicilien Francesco Casisa est un expert de la préparation des pizzas. Diplômé à Rome depuis 2004, cet authentique pizzaïolo propose une large variété de plats d’origine sicilienne. Afin de réussir ses pizzas, il prépare la pâte et la conserve dans une cave où l’humidité est parfaite. De même, pour la vraie sauce tomate, il utilise les tomates Mutti d’Italie et des produits frais. Faites un tour dans ce restaurant et vous vous retrouverez en partie en Italie. Un accueil typiquement italien vous est réservé.",210,$$ - $$$,$7 - $43,48.8504923,2.3494743
Picotte,"42 rue de Malte, 75011 Paris France",170,4.5,"A deux pas de la Place de la Republique, le restaurant Picotte vous propose de decouvrir ou redecouvrir les specialites regionales qui font la renommée de la cuisine francaise. Servies sous la forme de petits plats a partager, Picotte est basé sur le partage et la decouverte. Notre carte evolue au fil des saisons, nos produits sont frais et notre cuisine a du gout et du caractere !",195,$$ - $$$,$27 - $40,48.866188,2.3675207
TRADI,"4 rue du Mail, 75002 Paris France",178,4.5,Bistro Français ou tout y fait maison avec des produits frais et français avec un maximum de circuit court . Une carte des vins alléchante qui est remaniée souvent .,663,$$ - $$$,$35 - $62,48.866367,2.3415761
Phebe,"190 rue de Courcelles, 75017 Paris France",187,4.5,,317,$$ - $$$,$20 - $50,48.885656,2.296779
Chez Trassoudaine,"3 Place Nationale, 75013 Paris France",197,4.5,,550,$$ - $$$,,48.8287535,2.3650472
Le Bistrot d'Indochine,"49 rue de Dantzig, 75015 Paris France",155,4.5,,454,$$ - $$$,$12 - $35,48.8307825,2.2964544
Seb'on,"62 rue d'Orsel, 75018 Paris France",173,4.5,,1209,$$ - $$$,,48.8835964,2.340289
GRUPPOMIMO - Paris 2,"157 rue Montmartre, 75008 Paris France",180,4.5,,883,$$ - $$$,,48.8707262,2.3426729
Santa Carne,"3 boulevard Richard Lenoir, 75011 Paris France",254,4.5,,1004,$$ - $$$,,48.8547105,2.3694118
Bistrot Cote Seine,"12 quai Georges Clemenceau, 78380 Bougival France",1,4.5,,483,$$ - $$$,$15 - $30,48.8673573,2.1400684
Le Cabanon de la Butte,"6 rue Lamarck, 75018 Paris France",220,4.5,,684,$$ - $$$,,48.8866183,2.3444051
Huitres et Saumons de Passy,"17 rue de l Annonciation, 75016 Paris France",208,4.5,,366,$$ - $$$,$24 - $65,48.8563229,2.2797345
Pop's,"38 rue du Ranelagh, 75016 Paris France",203,4.5,"Come discover mediterranean cooking and awesome products. Taste generous dishes and pizzas at very reasonable prices. The design atmosphere and friendly service makes it a great place to have lunch and dinner. Pop's offers you a Mediterranean cuisine based on fresh products. At Pop's, everything is homemade. Welcoming and language skilled crew.",646,$$ - $$$,$12 - $25,48.8541661,2.2758992
Juveniles Wine Bar,"47 rue de Richelieu, 75001 Paris France",206,4.5,,467,$$ - $$$,,48.8662741,2.3371009
Le Clos Y,"27 avenue du Maine, 75015 Paris France",204,4.5,,502,$$$$,$45 - $100,48.843018,2.320929
Al Assil,"50 boulevard de Magenta, 75010 Paris France",217,5,,84,$,,48.8729446,2.3592899
Cantina Chic,"14 rue de l Etoile 75017 Paris, 75017 Paris France",232,4.5,"Small and casual restaurant, fresh products, home made food, friendly service, nice italian wines and low prices.",488,$$ - $$$,$15 - $25,48.8772827,2.2955476
The Frog and Princess,"9 rue Princesse, 75006 Paris France",195,4.5,"THE FROG & PRINCESS is situated in a beautiful part of Paris called Saint Germain-des-pres. It is a cool, trendy bar with a professional & hip young anglophile clientele. International student nights burst at the seams and throughout the week all major football, rugby and NFL games are shown. If you are visiting Paris for the weekend, it is certainly worth taking The Frog & Princess in, and if you are an expat living in Paris it is a great place, located on the left bank, to make your regular haunt.",476,$$ - $$$,$11 - $17,48.8522786,2.3345451
Le Sergent Recruteur,"41 rue Saint Louis en L Ile, 75004 Paris France",212,5,,179,$$$$,$39 - $179,48.8519572,2.3560211
Mian Fan,"124 boulevard du Montparnasse, 75014 Paris France",245,4.5,,551,$$ - $$$,$1 ,48.8412212,2.331357
Restaurant La Pie Noir,"5 rue de la Montagne Ste Genevieve, 75005 Paris France",190,4.5,,523,$$ - $$$,$20 - $32,48.8492982,2.3488742
Le Ju',"16 rue des Archives, 75004 Paris France",233,4.5,Les réservations en terrasse ne sont pas garanties. Merci de réserver uniquement pour un repas. Reservation only for food. Reservation only inside.,946,$$ - $$$,$9 - $22,48.8577054,2.3547735
Restaurant eels,"27 rue d Hauteville, 75010 Paris France",174,4.5,,470,$$$$,,48.8732299,2.3502848
La Trattoria dell'Isola,"40 rue Rodier, 75009 Paris France",141,4.5,,842,$$ - $$$,$15 - $30,48.8794593,2.3433949
Flesh Restaurant Pigalle,"25 rue de Douai, 75009 Paris France",223,4.5,,858,$$ - $$$,$20 - $40,48.8823233,2.333044
Happy Caffe,"214 rue de Rivoli, 75001 Paris France",213,4.5,"Home made products, organic crepes, hot and cold drinks, fresh salad. Some places to seat available. From January 17th, we will be closed in order to renew our shop and for creating some seats. Thank you for your comprehension.",792,$,$1 - $5,48.8646657,2.3295574
Pane olio e pomodoro,"46 rue de la Fontaine au Roi, 75011 Paris France",218,4.5,,489,$$ - $$$,$10 - $25,48.8680131,2.3729673
Zia,"22 avenue de Tourville, 75007 Paris France",205,4.5,"Zia is a coffee shop & eatery in the 7th arrondissement of Paris. Serving quality coffee and delicious, market-fresh breakfast, brunch, and lunch. Also offering gourmet picnics to go in the spring and summer. Zia is owned by Chef Justin Kent an American in Paris since 2011.",228,$$ - $$$,$10 - $35,48.8542386,2.3071882
La Cassolette,"44 avenue du Mesnil, 94210 Saint-Maur-des-Fosses France",1,4.5,"Cuisine traditionnelle française faite maison au rythme du marché... Formule déjeuner du mardi au vendredi : ""Entrée du jour + plat du jour"" ou ""Plat du jour + dessert du jour"" + ""1 verre de vin ou 1 café"" = 14,00 €",209,$$ - $$$,$15 - $30,48.7972602,2.5162485
Kei Restaurant,"5 rue Coq Heron, 75001 Paris France",200,4.5,,1107,$$$$,$58 - $199,48.864328,2.3421687
Caramel Sarrasin,"47 rue du Faubourg Montmartre, 75009 Paris France",201,4.5,"French traditional crêperie restaurant with gluten free savory crêpes ( galettes) and crêpes. Home made toppings, ice tea, salad dressing, kasha tabbouleh, apéritive drinks, ... Stéphane owner and chef crêpe maker with more than 20 years of expérience give also crêpe cooking class every afternoon 3.45pm to 6.30pm only on booking. Winner of the tripadvisor traveller choice in 2022. See you soon",351,$$ - $$$,,48.8746743,2.3413283
Le 975,"185 rue Marcadet, 75017 Paris France",216,4.5,,309,$$ - $$$,$23 - $43,48.8915719,2.3353521
La Bossue,"9 rue Joseph de Maistre, 75018 Paris France",202,4.5,,500,$$ - $$$,$1 - $12,48.8860249,2.3340683
Aux 2 Saveurs,"6 rue Emile Gilbert, 75012 Paris France",209,4.5,"High quality French restaurant by Japanese chef located in the 12th district of Paris near Gare de Lyon and Bastille. This address focuses on the quality, and we offer the menu that changes regularly and 100% homemade.",312,$$ - $$$,$30 - $45,48.8463691,2.3733056
Virtus,"29 rue de Cotte, 75012 Paris France",222,4.5,,364,$$$$,$45 - $125,48.8502429,2.378162
L'Acolyte de L'Insolite,"49 rue de la Folie-Mericourt, 75011 Paris France",196,4.5,,405,$$ - $$$,$17 - $35,48.8641434,2.3716478
A-Table,"92 rue de la Reunion, 75020 Paris France",215,4.5,"The Iranian cooking is one of the cultural elements that makes it particularly well aware of the subtlety of the actual Iranian culture. The colorful table is in itself quite telling. It offers a wide variety of foods, dishes, desserts, condiments and accompaniments. Different kinds of soups, stews, rice, breads, syrups, etc. are there to report on Iranian culinary practices of past centuries, and",512,$,$15 - $20,48.8570854,2.3998687
24 Le Restaurant,"24 rue Jean Mermoz Champs-Elysées, 75008 Paris France",186,5,,382,$$$$,$39 - $59,48.871086,2.3117876
La Puce,"17 rue Ernest Renan, 93400 Saint Ouen France",1,4.5,"in a small quiet street, a unique location in Saint Ouen, you can discover chef's cuisine from the gastronomy. Simple and modern dishes, well prepared seasonal products. Service is both discreet and present. Wine selection in alliance with small French producers and foreign selection. Open from Tuesday to Saturday for lunch (noon till 2:00 pm) and dinner (from 7:30 pm till 10:00 pm).",451,$$ - $$$,$15 - $36,48.909098,2.331973
Alan Geaam Restaurant,"19 rue Lauriston, 75116 Paris France",210,4.5,,228,$$$$,$68 - $148,48.8714572,2.2923141
Trois Crabes,"17 rue Claude Tillier, 75012 Paris France",255,4.5,,318,$$ - $$$,,48.8482371,2.3880034
Le Lamarck,"8 rue Lamarck, 75018 Paris France",235,4.5,,394,$$ - $$$,,48.88674635,2.344516751
Hebe,"15 rue Frederic Sauton, 75005 Paris France",185,4.5,,1263,$$ - $$$,$16 - $70,48.8507788,2.3491162
Le Vin Coeur,"4 avenue Carnot, 75017 Paris France",269,4.5,,766,$$ - $$$,,48.8752985,2.2939724
Bellini,"140 avenue de la Republique, 92120 Montrouge France",1,4.5,,306,$$ - $$$,,48.8124021,2.3156787
Mobster Diner,"20 rue des Boulangers 75005, 75005 Paris France",246,4.5,"Mobster Diner, one of the best burgers in Paris, was created in 2014 with a mindset: to offer high quality burgers at an unbeatable price. Great lovers of jazz, the founders have created a convivial atmosphere that best reflects the most representative period of this musical genre: the 1920s and prohibition. The restaurant is open 7 days a week, for lunch and dinner in the 5th arrondissement of Paris, near Jussieu, Cardinal Lemoine, Place Monge, rue Mouffetard, pantheon, Quartier Latin and the Jardin des Plantes. Vege burgers are possible for all the burgers offered. Address : 20 rue des boulangers. (5 Minutes away from la Sorbonne and Notre Dame) Metro Jussieu & Cardinal Lemoine, line 7 and 10.",712,$,$9 - $13,48.8458821,2.3533232
La Grande Ourse,"9 rue Georges Sache, 75014 Paris France",250,4.5,,301,$$ - $$$,,48.8322137,2.3233454
L'Escale Caraibeenne,"3 Galerie de la Fontaine, 92360, Meudon France",1,4.5,,195,$$ - $$$,$10 - $18,48.7873035,2.2276604
Sourire Le Restaurant,"15 rue de la Sante, 75013 Paris France",243,4.5,"Cuisine gastronomique dans un cadre cosy et chaleureux composé de grande table en marbre et de fauteuils en velours bleu. Le chef Justin Brohm propose une cuisine d'auteur et travaille des produits saisonniers de qualité avec des accords originaux, twiste certains classiques, embellit des produits moins nobles ou joue sur des unions étonnants. Le menu change tout les mois en fonction des saisons et des produits proposés par les producteurs, s'adaptant ainsi à ce qu'offre la nature. Les vins sont choisis par le sommelier auprès de vignerons dûment sélectionnés.",416,$$$$,$39 - $69,48.8371739,2.3420167
Bistrot l'Olivier,"88 rue Ordener, 75018 Paris France",240,4.5,,424,$$ - $$$,,48.8928483,2.343035654
Lilane,"8 rue Gracieuse, 75005 Paris France",239,4.5,,348,$$ - $$$,,48.8422768,2.3515966
Ze Kitchen Galerie,"4 rue des Grands Augustins, 75006 Paris France",249,4.5,,1463,$$$$,$41 - $98,48.8550903,2.3412924
Don Giovanni,"19 rue Francois Miron, 75004 Paris France",241,4.5,,479,$$ - $$$,,48.8557313,2.3571723
Lucette fait des Crepes,"4 rue de Milan, 75009 Paris France",262,4.5,Best crepes in town. Everything is homemade and... Made with love ! A large choice of organic products served with the beautiful smile of our waitress...,416,$,$3 - $24,48.8789981,2.3292387
Pierre Gagnaire,"6 Rue Balzac, 75008 Paris France",238,4.5,,1042,$$$$,,48.8733525,2.3003767
Jeongane,"60 rue des Morillons, 75015 Paris France",277,4.5,Notre repas principal est le barbecue et le Bibimbap. Notre restaurant est à Paris dans le 15ème arrondissement au 60 rue des Morillons 75015. Notre restaurant à été ouvert en septembre 2016.,279,$,,48.8318985,2.3042293
